node_id,x,y,depth_m,avg_depth_m,max_hgl_m,flooded,max_flooding_cms,node_type,scenario,event_id,simulation_start_at,simulation_end_at,source,model_type,crs,rainfall_source,inp_file,rpt_file
J1,80.2707,13.0827,0.28,0.05,10.28,False,0.0,JUNCTION,normal,imerg-2015-11-28_normal,2015-11-28T00:00:00+00:00,2015-12-04T23:30:00+00:00,swmm_rpt_node_depth_summary,synthetic_pilot_network,EPSG:4326,NASA GPM IMERG via data/rainfall/chennai_imerg_2015.csv,direct_injected_normal.inp,direct_injected_normal.rpt
J2,80.2735,13.085,0.23,0.05,8.73,False,0.0,JUNCTION,normal,imerg-2015-11-28_normal,2015-11-28T00:00:00+00:00,2015-12-04T23:30:00+00:00,swmm_rpt_node_depth_summary,synthetic_pilot_network,EPSG:4326,NASA GPM IMERG via data/rainfall/chennai_imerg_2015.csv,direct_injected_normal.inp,direct_injected_normal.rpt
OUT1,80.276,13.0872,0.23,0.04,7.23,False,0.0,OUTFALL,normal,imerg-2015-11-28_normal,2015-11-28T00:00:00+00:00,2015-12-04T23:30:00+00:00,swmm_rpt_node_depth_summary,synthetic_pilot_network,EPSG:4326,NASA GPM IMERG via data/rainfall/chennai_imerg_2015.csv,direct_injected_normal.inp,direct_injected_normal.rpt
J1,80.2707,13.0827,0.36,0.07,10.36,False,0.0,JUNCTION,reduced_capacity,imerg-2015-11-28_reduced_capacity,2015-11-28T00:00:00+00:00,2015-12-04T23:30:00+00:00,swmm_rpt_node_depth_summary,synthetic_pilot_network,EPSG:4326,NASA GPM IMERG via data/rainfall/chennai_imerg_2015.csv,direct_injected_reduced_capacity.inp,direct_injected_reduced_capacity.rpt
J2,80.2735,13.085,0.29,0.06,8.79,False,0.0,JUNCTION,reduced_capacity,imerg-2015-11-28_reduced_capacity,2015-11-28T00:00:00+00:00,2015-12-04T23:30:00+00:00,swmm_rpt_node_depth_summary,synthetic_pilot_network,EPSG:4326,NASA GPM IMERG via data/rainfall/chennai_imerg_2015.csv,direct_injected_reduced_capacity.inp,direct_injected_reduced_capacity.rpt
OUT1,80.276,13.0872,0.29,0.05,7.29,False,0.0,OUTFALL,reduced_capacity,imerg-2015-11-28_reduced_capacity,2015-11-28T00:00:00+00:00,2015-12-04T23:30:00+00:00,swmm_rpt_node_depth_summary,synthetic_pilot_network,EPSG:4326,NASA GPM IMERG via data/rainfall/chennai_imerg_2015.csv,direct_injected_reduced_capacity.inp,direct_injected_reduced_capacity.rpt
J1,80.2707,13.0827,0.47,0.09,10.47,False,0.0,JUNCTION,severe_blockage,imerg-2015-11-28_severe_blockage,2015-11-28T00:00:00+00:00,2015-12-04T23:30:00+00:00,swmm_rpt_node_depth_summary,synthetic_pilot_network,EPSG:4326,NASA GPM IMERG via data/rainfall/chennai_imerg_2015.csv,direct_injected_severe_blockage.inp,direct_injected_severe_blockage.rpt
J2,80.2735,13.085,0.39,0.08,8.89,False,0.0,JUNCTION,severe_blockage,imerg-2015-11-28_severe_blockage,2015-11-28T00:00:00+00:00,2015-12-04T23:30:00+00:00,swmm_rpt_node_depth_summary,synthetic_pilot_network,EPSG:4326,NASA GPM IMERG via data/rainfall/chennai_imerg_2015.csv,direct_injected_severe_blockage.inp,direct_injected_severe_blockage.rpt
OUT1,80.276,13.0872,0.29,0.05,7.29,False,0.0,OUTFALL,severe_blockage,imerg-2015-11-28_severe_blockage,2015-11-28T00:00:00+00:00,2015-12-04T23:30:00+00:00,swmm_rpt_node_depth_summary,synthetic_pilot_network,EPSG:4326,NASA GPM IMERG via data/rainfall/chennai_imerg_2015.csv,direct_injected_severe_blockage.inp,direct_injected_severe_blockage.rpt
