timestamp,rainfall_mm
11/28/2015 00:00,0.0
11/28/2015 00:30,0.0
11/28/2015 01:00,0.0
11/28/2015 01:30,0.0
11/28/2015 02:00,0.0
11/28/2015 02:30,0.0
11/28/2015 03:00,0.0
11/28/2015 03:30,0.0
11/28/2015 04:00,0.0
11/28/2015 04:30,0.0
11/28/2015 05:00,0.0
11/28/2015 05:30,0.0
11/28/2015 06:00,0.0
11/28/2015 06:30,0.0
11/28/2015 07:00,0.0
11/28/2015 07:30,0.0
11/28/2015 08:00,0.0
11/28/2015 08:30,0.0
11/28/2015 09:00,0.0
11/28/2015 09:30,0.02222222
11/28/2015 10:00,0.0
11/28/2015 10:30,0.0
11/28/2015 11:00,0.0
11/28/2015 11:30,0.0055555557
11/28/2015 12:00,0.0033333332
11/28/2015 12:30,0.0
11/28/2015 13:00,0.0
11/28/2015 13:30,0.02222222
11/28/2015 14:00,0.040555555
11/28/2015 14:30,0.0011111111
11/28/2015 15:00,0.051666666
11/28/2015 15:30,0.031111112
11/28/2015 16:00,0.041666668
11/28/2015 16:30,0.028333332
11/28/2015 17:00,0.118888885
11/28/2015 17:30,0.10999999
11/28/2015 18:00,0.071666665
11/28/2015 18:30,0.16499999
11/28/2015 19:00,0.3744444
11/28/2015 19:30,0.65166664
11/28/2015 20:00,0.25055555
11/28/2015 20:30,0.165
11/28/2015 21:00,0.33444443
11/28/2015 21:30,0.83611107
11/28/2015 22:00,1.0649999
11/28/2015 22:30,1.1544443
11/28/2015 23:00,1.1144445
11/28/2015 23:30,0.84111106
11/29/2015 00:00,0.82722217
11/29/2015 00:30,0.5255555
11/29/2015 01:00,0.11444444
11/29/2015 01:30,0.10999999
11/29/2015 02:00,0.12444445
11/29/2015 02:30,0.12888888
11/29/2015 03:00,0.06055555
11/29/2015 03:30,0.082777776
11/29/2015 04:00,0.04222222
11/29/2015 04:30,0.028888889
11/29/2015 05:00,0.0
11/29/2015 05:30,0.0
11/29/2015 06:00,0.0
11/29/2015 06:30,0.020555554
11/29/2015 07:00,0.0
11/29/2015 07:30,0.13555557
11/29/2015 08:00,0.039444443
11/29/2015 08:30,0.095
11/29/2015 09:00,0.1261111
11/29/2015 09:30,0.45500004
11/29/2015 10:00,0.5522222
11/29/2015 10:30,0.25166667
11/29/2015 11:00,0.1611111
11/29/2015 11:30,0.12444445
11/29/2015 12:00,0.09555555
11/29/2015 12:30,0.15444444
11/29/2015 13:00,0.2861111
11/29/2015 13:30,0.3238889
11/29/2015 14:00,0.25944442
11/29/2015 14:30,0.33222222
11/29/2015 15:00,0.18444444
11/29/2015 15:30,0.06666666
11/29/2015 16:00,0.03833333
11/29/2015 16:30,0.042777777
11/29/2015 17:00,0.00055555557
11/29/2015 17:30,0.02111111
11/29/2015 18:00,0.086666666
11/29/2015 18:30,0.05833333
11/29/2015 19:00,0.06888888
11/29/2015 19:30,0.4161111
11/29/2015 20:00,0.81222224
11/29/2015 20:30,1.1194444
11/29/2015 21:00,1.7550001
11/29/2015 21:30,2.6216667
11/29/2015 22:00,2.2577775
11/29/2015 22:30,1.923333
11/29/2015 23:00,3.3527777
11/29/2015 23:30,5.573889
11/30/2015 00:00,7.133333
11/30/2015 00:30,7.0627775
11/30/2015 01:00,6.295555
